"","Entity","Code","Year","Share","latitude","longitude"
"47","Cuba","CUB",1998,0.128808799,21.521757,-77.781167
"148","Poland","POL",2015,0.560143001,51.919438,19.145136
"46","Croatia","HRV",2011,0.050562154,45.1,15.2
"174","Sudan","SDN",1990,2.020688646,12.862807,30.217636
"135","Nigeria","NGA",2015,1.763266005,9.081999,8.675277
"175","Suriname","SUR",1994,0.029713736,3.919305,-56.027783
"71","Gibraltar","GIB",2015,0.000353288,36.137741,-5.345374
"20","Belize","BLZ",1995,0.059624186,17.189877,-88.49765
"160","Samoa","WSM",1999,0.001130194,-13.759029,-172.104629
"150","Puerto Rico","PRI",2006,0.013899657,18.220833,-66.590149
"128","Nepal","NPL",1997,0.444277826,28.394857,84.124008
"2","Albania","ALB",1999,0.030663028,41.153332,20.168331
"117","Mauritania","MRT",2007,0.051103829,21.00789,-10.940835
"126","Namibia","NAM",2007,0.084887641,-22.95764,18.49041
"155","Saint Helena","SHN",2011,1.58e-05,-24.143474,-10.030696
"55","El Salvador","SLV",2000,0.03675803,13.794185,-88.89653
"76","Guam","GUM",1995,0.000270014,13.444304,144.793731
"65","French Polynesia","PYF",1997,0.00087694,-17.679742,-149.406843
"4","American Samoa","ASM",2010,0.000154269,-14.270972,-170.132217
"50","Djibouti","DJI",2010,0.006370033,11.825138,42.590275
"7","Antigua and Barbuda","ATG",2012,0.000845861,17.060816,-61.796428
"153","Russia","RUS",1995,3.478116304,61.52401,105.318756
"95","Jordan","JOR",1999,0.023846848,30.585164,36.238414
"3","Algeria","DZA",1996,0.222403775,28.033886,1.659626
"48","Cyprus","CYP",2001,0.01242376,35.126413,33.429859
"107","Lithuania","LTU",2003,0.079476562,55.169438,23.881275
"109","Madagascar","MDG",2000,0.399511757,-18.766947,46.869107
"26","Botswana","BWA",2005,0.499954451,-22.328474,24.684866
"97","Kenya","KEN",1991,0.541364638,-0.023559,37.906193
"40","Chile","CHL",2003,0.15759576,-35.675147,-71.542969
"49","Denmark","DNK",2015,0.117271362,56.26392,9.501785
"173","Sri Lanka","LKA",2006,0.094347779,7.873054,80.771797
"34","Cameroon","CMR",1996,0.801541335,7.369722,12.354722
"162","Senegal","SEN",2002,0.112423636,14.497401,-14.452362
"154","Rwanda","RWA",1994,0.033204273,-1.940278,29.873888
"142","Palau","PLW",2010,0.001181943,7.51498,134.58252
"141","Pakistan","PAK",1998,1.088381488,30.375321,69.345116
"158","Saint Pierre and Miquelon","SPM",2011,6.53e-05,46.941936,-56.27111
"165","Singapore","SGP",2011,0.033433068,1.352083,103.819836
"64","French Guiana","GUF",2005,0.000980154,3.933889,-53.125782
"121","Moldova","MDA",2002,0.021761918,47.411631,28.369885
"60","Faroe Islands","",2001,0.000330985,61.892635,-6.911806
"96","Kazakhstan","KAZ",2014,0.302979961,48.019573,66.923684
"156","Saint Kitts and Nevis","KNA",1998,0.000279631,17.357822,-62.782998
"115","Marshall Islands","MHL",2012,1.27e-05,7.131474,171.184478
"189","Turkmenistan","TKM",1990,0.077320267,38.969719,59.556278
"29","Brunei","BRN",2006,0.018191004,4.535277,114.727669
"177","Switzerland","CHE",1997,0.067724536,46.818188,8.227512
"75","Guadeloupe","GLP",1999,0.00247044,16.995971,-62.067641
"102","Latvia","LVA",2011,0.050302423,56.879635,24.603189
